size;processes;read_time;merge_time;elapsed;user;sys
1048576;0;0.001850;0.140581;0.15;0.14;0.00
1048576;0;0.001834;0.140750;0.15;0.14;0.00
1048576;0;0.001997;0.141467;0.15;0.14;0.00
1048576;0;0.001879;0.141327;0.15;0.14;0.00
1048576;0;0.000832;0.142888;0.15;0.13;0.01
1048576;0;0.002015;0.140575;0.15;0.14;0.00
1048576;0;0.002024;0.141244;0.16;0.14;0.00
1048576;0;0.001929;0.140689;0.15;0.14;0.00
1048576;0;0.001854;0.140607;0.15;0.14;0.00
1048576;0;0.001861;0.140721;0.15;0.14;0.00
1048576;0;0.002132;0.140616;0.16;0.14;0.00
1048576;0;0.002051;0.140998;0.16;0.14;0.00
1048576;0;0.002032;0.140439;0.15;0.13;0.00
1048576;0;0.001951;0.140195;0.15;0.14;0.00
1048576;0;0.002147;0.140919;0.16;0.14;0.00
1048576;0;0.002084;0.140450;0.15;0.14;0.00
1048576;0;0.002083;0.141893;0.16;0.14;0.00
1048576;0;0.001998;0.140547;0.15;0.14;0.00
1048576;0;0.002040;0.140783;0.15;0.14;0.00
1048576;0;0.002051;0.140485;0.15;0.14;0.00
1048576;0;0.001985;0.141112;0.15;0.14;0.00
1048576;0;0.001979;0.140691;0.15;0.14;0.00
1048576;0;0.002011;0.140461;0.15;0.14;0.00
1048576;0;0.001992;0.141300;0.16;0.14;0.00
1048576;0;0.001928;0.141975;0.16;0.14;0.00
1048576;0;0.001976;0.140571;0.15;0.14;0.00
1048576;0;0.001905;0.140380;0.15;0.14;0.00
1048576;0;0.001908;0.141270;0.16;0.14;0.00
1048576;0;0.002023;0.140531;0.15;0.14;0.00
1048576;0;0.002182;0.140885;0.16;0.14;0.00
1048576;0;0.002123;0.141150;0.16;0.14;0.00
1048576;0;0.002030;0.140521;0.15;0.14;0.00
1048576;0;0.001998;0.140338;0.15;0.14;0.00
1048576;0;0.001963;0.140920;0.15;0.14;0.00
1048576;0;0.001995;0.141597;0.16;0.14;0.00
1048576;0;0.002025;0.140670;0.15;0.14;0.00
1048576;0;0.002059;0.141586;0.16;0.14;0.00
1048576;0;0.001977;0.140730;0.15;0.14;0.00
1048576;0;0.001871;0.140657;0.15;0.14;0.00
1048576;0;0.001879;0.140790;0.15;0.14;0.00
1048576;0;0.001846;0.140296;0.15;0.14;0.00
1048576;0;0.001890;0.140577;0.15;0.14;0.00
1048576;0;0.001891;0.140551;0.15;0.14;0.00
1048576;0;0.002109;0.140660;0.15;0.14;0.00
1048576;0;0.001928;0.140572;0.15;0.14;0.00
1048576;0;0.001842;0.140679;0.15;0.14;0.00
1048576;0;0.001910;0.140538;0.15;0.12;0.01
1048576;0;0.002135;0.143557;0.16;0.14;0.00
1048576;0;0.001999;0.140917;0.15;0.14;0.00
1048576;0;0.001981;0.141059;0.15;0.12;0.01
1048576;0;0.001969;0.140624;0.15;0.14;0.00
1048576;0;0.001981;0.141948;0.15;0.14;0.00
1048576;0;0.001976;0.141666;0.15;0.14;0.00
1048576;0;0.001905;0.142485;0.16;0.14;0.00
1048576;0;0.002094;0.141428;0.15;0.14;0.00
